date,sqft,psf,price
Feb2026,1011,1788,1810000
Feb2026,990,1868,1850000
Feb2026,1151,1649,1900000
Jan2026,602,1741,1050000
Jan2026,1184,1841,2180000
Jan2026,462,1760,815000
Jan2026,462,1689,781888
Jan2026,1151,1832,2110000
Dec2025,602,1695,1022000
Nov2025,1184,1858,2200000
Nov2025,1151,1779,2050000
Nov2025,602,1741,1050000
Nov2025,990,1757,1740000
Nov2025,602,1750,1055000
Oct2025,645,1827,1180000
Oct2025,731,1707,1250000
Oct2025,602,1750,1055000
Oct2025,1184,1727,2045000
Oct2025,645,1780,1150000
Oct2025,1151,1693,1950000
Sep2025,602,1702,1026000
Sep2025,1151,1760,2028000
Sep2025,645,1780,1150000
Sep2025,462,1767,818000
Sep2025,462,1747,808888
Sep2025,710,1758,1249000
Aug2025,1184,1756,2080000
Aug2025,1151,1753,2020000
Aug2025,602,1708,1030000
Jul2025,1334,1205,1608888
Jul2025,602,1584,955000
Jul2025,462,1717,795000
Jul2025,710,1787,1270000
Jul2025,925,1566,1450000
Jun2025,462,1775,822000
Jun2025,602,1667,1005000
Jun2025,602,1658,1000000
May2025,602,1642,990000
May2025,462,1747,809000
Apr2025,990,1806,1788888
Apr2025,645,1718,1110000
Apr2025,1151,1753,2020000
Apr2025,462,1680,778000
Apr2025,1151,1708,1968000
Apr2025,645,1625,1050000
Mar2025,1679,1399,2350000
Mar2025,904,1756,1588000
Mar2025,602,1642,990000
Mar2025,462,1685,780000
Mar2025,645,1741,1125000
Mar2025,1184,1807,2140000
Feb2025,602,1692,1020000
Feb2025,990,1782,1765000
Feb2025,710,1759,1250000
Feb2025,602,1584,955000
Feb2025,710,1689,1200000
Feb2025,904,1659,1500888
Jan2025,904,1658,1500000
Jan2025,645,1672,1080000
Jan2025,710,1675,1190000
Jan2025,645,1641,1060000
Jan2025,462,1739,805000
Jan2025,462,1728,800000
Jan2025,645,1672,1080000
Jan2025,1033,1287,1330000
Dec2024,602,1642,990000
Dec2024,904,1624,1468800
Dec2024,710,1644,1168000
Dec2024,710,1630,1158000
Nov2024,645,1600,1033600
Nov2024,462,1739,805000
Nov2024,1184,1714,2030000
Nov2024,462,1771,820000
Oct2024,1151,1719,1980000
Oct2024,602,1625,980000
Oct2024,602,1589,958000
Oct2024,602,1609,970000
Oct2024,710,1573,1118000
Sep2024,1151,1682,1938000
Sep2024,602,1567,945000
Sep2024,710,1651,1173000
Sep2024,710,1632,1160000
Sep2024,1151,1632,1880000
Aug2024,602,1620,977000
Aug2024,462,1642,760000
Aug2024,462,1696,785000
Aug2024,904,1658,1500000
Aug2024,710,1632,1160000
Aug2024,602,1692,1020000
Aug2024,904,1681,1520000
Jul2024,462,1706,790000
Jul2024,602,1592,960000
Jul2024,1184,1646,1950000
Jul2024,710,1618,1150000
Jun2024,1184,1625,1925000
Jun2024,990,1785,1768000
Jun2024,602,1506,908000
Jun2024,602,1639,988000
Jun2024,645,1574,1017000
Jun2024,710,1630,1158000
May2024,602,1625,980000
May2024,602,1640,988888
Apr2024,462,1717,795000
Apr2024,602,1642,990000
Apr2024,602,1652,996000
Apr2024,462,1767,818000
Apr2024,602,1625,980000
Apr2024,710,1618,1150000
Mar2024,904,1658,1500000
Mar2024,602,1600,965000
Mar2024,462,1685,780000
Mar2024,645,1672,1080000
Feb2024,990,1724,1708000
Feb2024,1184,1765,2090000
Feb2024,602,1609,970000
Feb2024,1184,1637,1938888
Feb2024,1011,1669,1688888
Feb2024,1184,1782,2110000
Dec2023,462,1717,795000
Dec2023,1151,1719,1980000
Dec2023,904,1535,1388000
Dec2023,462,1775,822000
Dec2023,710,1618,1150000
Nov2023,710,1618,1150000
Nov2023,710,1615,1148000
Nov2023,602,1622,978000
Oct2023,1151,1632,1880000
Oct2023,1184,1689,2000088
Oct2023,1184,1765,2090000
Oct2023,990,1635,1620000
Oct2023,462,1685,780000
Oct2023,462,1706,790000
Oct2023,710,1660,1180000
Sep2023,462,1642,760000
Aug2023,462,1724,798000
Aug2023,904,1599,1446400
Aug2023,667,1588,1060000
Aug2023,990,1600,1585000
Jul2023,462,1587,735000
Jul2023,1184,1814,2148000
Jul2023,645,1625,1050000
Jul2023,602,1634,985000
Jun2023,710,1666,1183880
Jun2023,710,1639,1165000
Jun2023,710,1618,1150000
May2023,710,1583,1125000
May2023,462,1656,766500
May2023,710,1579,1122000
May2023,1184,1765,2090000
May2023,602,1576,950000
May2023,990,1504,1490000
May2023,462,1685,780000
Apr2023,645,1607,1038000
Apr2023,990,1600,1585000
Apr2023,1184,1619,1918000
Apr2023,904,1581,1430000
Mar2023,645,1571,1015000
Mar2023,645,1610,1040000
Mar2023,602,1576,950000
Mar2023,710,1534,1090000
Feb2023,710,1576,1120000
Feb2023,645,1546,999000
Feb2023,462,1598,740000
Feb2023,462,1525,706000
Jan2023,602,1576,950000
Dec2022,602,1605,968000
Dec2022,904,1548,1400000
Dec2022,710,1534,1090000
Nov2022,904,1493,1350000
Nov2022,602,1592,960000
Nov2022,602,1567,945000
Nov2022,602,1551,935000
Nov2022,710,1461,1038000
Oct2022,602,1526,920000
Oct2022,904,1537,1390000
Oct2022,602,1567,945000
Oct2022,1151,1458,1680000
Oct2022,602,1531,923000
Oct2022,990,1506,1492000
Sep2022,904,1479,1338000
Sep2022,602,1531,923000
Sep2022,710,1362,968000
Sep2022,710,1407,1000000
Sep2022,602,1542,930000
Sep2022,1184,1520,1800000
Sep2022,645,1594,1030000
Sep2022,710,1506,1070000
Sep2022,710,1520,1080000
Sep2022,710,1435,1020000
Sep2022,710,1548,1100000
Sep2022,1151,1515,1745000
Aug2022,904,1437,1300000
Aug2022,710,1439,1023000
Aug2022,710,1449,1030000
Aug2022,904,1470,1330000
Aug2022,645,1522,983000
Aug2022,990,1474,1460000
Jul2022,462,1523,705000
Jul2022,602,1509,910000
Jul2022,462,1626,753000
Jul2022,602,1526,920000
Jul2022,1420,1161,1650000
Jun2022,710,1548,1100000
Jun2022,1184,1435,1700000
Jun2022,462,1544,715000
Jun2022,990,1470,1456000
Jun2022,602,1526,920000
Jun2022,904,1504,1360000
Jun2022,462,1596,739000
May2022,624,1441,900000
May2022,710,1435,1020000
May2022,1184,1452,1720000
May2022,904,1493,1350000
May2022,904,1498,1355000
May2022,602,1489,898000
May2022,602,1439,868000
Apr2022,710,1435,1020000
Apr2022,645,1470,950000
Apr2022,710,1485,1055000
Apr2022,731,1434,1050000
Mar2022,925,1377,1275000
Mar2022,710,1520,1080000
Mar2022,904,1526,1380000
Mar2022,462,1577,730000
Mar2022,645,1452,938000
Mar2022,990,1442,1428000
Mar2022,710,1435,1020000
Feb2022,645,1453,938888
Feb2022,1334,1123,1500000
Feb2022,1151,1404,1618000
Feb2022,462,1544,715000
Feb2022,462,1540,712888
Feb2022,645,1463,945000
Feb2022,710,1373,976000
Feb2022,602,1469,885888
Feb2022,602,1491,898888
Feb2022,602,1542,930000
Feb2022,710,1404,998000
Jan2022,645,1498,968000
Jan2022,645,1486,960000
Dec2021,710,1406,998888
Dec2021,1151,1380,1590000
Dec2021,602,1493,900000
Dec2021,602,1493,900000
Dec2021,710,1442,1025000
Dec2021,710,1379,980000
Dec2021,602,1501,905000
Dec2021,990,1444,1430000
Nov2021,462,1497,692888
Nov2021,1184,1459,1728000
Nov2021,462,1540,713000
Nov2021,990,1373,1360000
Nov2021,1184,1351,1600000
Nov2021,1151,1371,1580000
Nov2021,1151,1402,1615000
Nov2021,1151,1335,1538000
Nov2021,484,1403,680000
Nov2021,904,1382,1250000
Nov2021,462,1551,718000
Oct2021,1151,1389,1600000
Oct2021,1151,1371,1580000
Oct2021,462,1555,720000
Oct2021,710,1407,1000000
Oct2021,602,1443,870000
Oct2021,462,1469,680000
Oct2021,462,1523,705000
Oct2021,462,1533,710000
Sep2021,462,1544,715000
Sep2021,462,1518,703000
Sep2021,1184,1334,1580000
Sep2021,1184,1418,1680000
Sep2021,462,1469,680000
Sep2021,904,1432,1295000
Sep2021,1151,1337,1540000
Aug2021,710,1365,970000
Aug2021,1151,1415,1630000
Aug2021,990,1393,1380000
Aug2021,602,1459,880000
Aug2021,602,1493,900000
Aug2021,602,1468,885000
Aug2021,710,1382,982000
Jul2021,1184,1351,1600000
Jul2021,1184,1351,1600000
Jul2021,462,1482,686000
Jul2021,990,1413,1400000
Jul2021,1151,1371,1580000
Jul2021,904,1470,1330000
Jul2021,710,1407,1000000
Jun2021,1151,1363,1570000
Jun2021,1151,1371,1580000
Jun2021,904,1388,1255000
Jun2021,462,1490,690000
Jun2021,645,1374,888000
Jun2021,1184,1376,1630000
Jun2021,1151,1315,1515000
Jun2021,710,1386,985000
May2021,462,1533,710000
May2021,602,1443,870000
May2021,462,1464,678000
May2021,710,1348,958000
May2021,990,1363,1350000
Apr2021,1151,1389,1600000
Apr2021,602,1393,840000
Apr2021,462,1587,735000
Apr2021,1184,1325,1570000
Apr2021,710,1351,960000
Mar2021,462,1512,700000
Mar2021,710,1379,980000
Mar2021,1184,1342,1590000
Feb2021,904,1354,1225000
Feb2021,645,1498,968000
Feb2021,990,1343,1330000
Feb2021,1184,1321,1565000
Feb2021,462,1486,688000
Jan2021,990,1287,1275000
Jan2021,462,1555,720000
Jan2021,1151,1331,1533888
Jan2021,710,1379,980000
Jan2021,1151,1389,1600000
Dec2020,462,1577,730000
Dec2020,1184,1351,1600000
Dec2020,1151,1345,1550000
Dec2020,904,1360,1230000
Dec2020,602,1484,895000
Dec2020,1151,1324,1525000
Dec2020,1184,1351,1600000
Dec2020,462,1587,735000
Dec2020,484,1362,660000
Dec2020,1151,1285,1480000
Nov2020,904,1349,1220000
Nov2020,710,1351,960000
Oct2020,990,1358,1345000
Oct2020,602,1473,888000
Sep2020,645,1455,940000
Sep2020,1151,1293,1490000
Sep2020,462,1447,670000
Sep2020,1184,1282,1518000
